application_id,customer_id,loan_id,loan_amount,interest_rate,loan_term_months,application_date,approval_date,status,credit_score,annual_income,employment_status,employer_name,years_employed,debt_to_income,loan_purpose,property_type,property_value,down_payment,loan_officer_id,branch_code
APP000001,CUST10001,LOAN0000001,450000.00,6.25,360,2023-01-15,2023-01-28,Approved,742,125000.00,Employed,Acme Corporation,5.2,0.32,Home Purchase,Single Family,525000.00,75000.00,LO101,BR001
APP000002,CUST10002,LOAN0000002,275000.00,6.75,360,2023-01-18,2023-02-01,Approved,698,95000.00,Employed,Tech Solutions Inc,3.8,0.38,Home Purchase,Condo,310000.00,35000.00,LO102,BR002
APP000003,CUST10003,LOAN0000003,180000.00,7.25,240,2023-01-22,,Denied,612,68000.00,Self-Employed,Freelance Consulting,2.1,0.48,Refinance,Townhouse,220000.00,40000.00,LO101,BR001
APP000004,CUST10004,LOAN0000004,620000.00,5.99,360,2023-02-01,2023-02-15,Approved,785,185000.00,Employed,Global Finance Corp,8.5,0.28,Home Purchase,Single Family,750000.00,130000.00,LO103,BR003
APP000005,CUST10005,LOAN0000005,95000.00,8.50,180,2023-02-05,,Pending,655,52000.00,Employed,Retail Services LLC,1.5,0.42,Debt Consolidation,Condo,125000.00,30000.00,LO102,BR002
APP000006,CUST10006,LOAN0000006,380000.00,6.50,360,2023-02-10,2023-02-25,Approved,721,142000.00,Employed,Healthcare Systems,6.3,0.35,Home Purchase,Townhouse,450000.00,70000.00,LO104,BR001
APP000007,CUST10007,LOAN0000007,520000.00,6.00,360,2023-02-14,,Withdrawn,756,168000.00,Employed,Energy Partners Inc,4.7,0.30,Home Purchase,Single Family,650000.00,130000.00,LO101,BR003
APP000008,CUST10008,LOAN0000008,150000.00,7.75,120,2023-02-18,2023-03-02,Approved,678,72000.00,Employed,Manufacturing Co,2.9,0.39,Home Improvement,Condo,185000.00,35000.00,LO105,BR002
APP000009,CUST10009,LOAN0000009,890000.00,5.75,360,2023-02-22,2023-03-08,Approved,802,275000.00,Employed,Investment Bank LLC,12.1,0.25,Home Purchase,Multi-Family,1050000.00,160000.00,LO103,BR003
APP000010,CUST10010,LOAN0000010,210000.00,7.00,300,2023-02-28,,Denied,598,58000.00,Part-Time,Local Restaurant,0.8,0.52,Refinance,Townhouse,245000.00,35000.00,LO102,BR001
APP000011,CUST10011,LOAN0000011,340000.00,6.25,360,2023-03-05,2023-03-20,Approved,735,118000.00,Employed,Software Systems,4.2,0.33,Home Purchase,Single Family,400000.00,60000.00,LO104,BR002
APP000012,CUST10012,LOAN0000012,175000.00,7.50,240,2023-03-08,,Pending,642,64000.00,Self-Employed,Photography Studio,3.5,0.44,Cash Out,Condo,210000.00,35000.00,LO101,BR001
APP000013,CUST10013,LOAN0000013,425000.00,6.125,360,2023-03-12,2023-03-28,Approved,768,155000.00,Employed,Consulting Group,7.8,0.29,Home Purchase,Townhouse,520000.00,95000.00,LO105,BR003
APP000014,CUST10014,LOAN0000014,285000.00,6.875,360,2023-03-15,2023-03-30,Approved,712,102000.00,Employed,Marketing Agency,5.1,0.36,Home Purchase,Condo,335000.00,50000.00,LO102,BR002
APP000015,CUST10015,LOAN0000015,550000.00,5.875,360,2023-03-20,2023-04-05,Approved,792,195000.00,Employed,Law Firm Partners,9.4,0.26,Home Purchase,Single Family,680000.00,130000.00,LO103,BR001
APP000016,CUST10016,LOAN0000016,125000.00,8.25,180,2023-03-25,,Denied,585,45000.00,Unemployed,,0.0,0.58,Debt Consolidation,Condo,155000.00,30000.00,LO104,BR002
APP000017,CUST10017,LOAN0000017,390000.00,6.375,360,2023-03-28,2023-04-12,Approved,745,138000.00,Employed,Construction Inc,6.7,0.34,Home Purchase,Townhouse,470000.00,80000.00,LO101,BR003
APP000018,CUST10018,LOAN0000018,680000.00,5.625,360,2023-04-02,2023-04-18,Approved,815,225000.00,Employed,Medical Center,11.2,0.24,Home Purchase,Single Family,820000.00,140000.00,LO105,BR001
APP000019,CUST10019,LOAN0000019,195000.00,7.125,240,2023-04-05,,Pending,668,78000.00,Employed,Retail Chain,2.3,0.40,Refinance,Condo,235000.00,40000.00,LO102,BR002
APP000020,CUST10020,LOAN0000020,475000.00,6.00,360,2023-04-10,2023-04-25,Approved,778,172000.00,Employed,Aerospace Corp,8.9,0.28,Home Purchase,Single Family,590000.00,115000.00,LO103,BR003
APP000021,CUST10021,LOAN0000021,310000.00,6.625,360,2023-04-15,2023-04-30,Approved,728,112000.00,Employed,Insurance Agency,4.6,0.35,Home Purchase,Townhouse,375000.00,65000.00,LO104,BR001
APP000022,CUST10022,LOAN0000022,85000.00,8.75,120,2023-04-18,,Denied,602,42000.00,Part-Time,Grocery Store,1.2,0.49,Home Improvement,Condo,105000.00,20000.00,LO101,BR002
APP000023,CUST10023,LOAN0000023,565000.00,5.75,360,2023-04-22,2023-05-08,Approved,798,198000.00,Employed,Tech Startup,7.3,0.27,Home Purchase,Single Family,700000.00,135000.00,LO105,BR003
APP000024,CUST10024,LOAN0000024,240000.00,6.875,300,2023-04-25,2023-05-10,Approved,705,88000.00,Employed,Education Services,3.9,0.37,Home Purchase,Condo,285000.00,45000.00,LO102,BR001
APP000025,CUST10025,LOAN0000025,420000.00,6.25,360,2023-04-28,2023-05-15,Approved,752,148000.00,Employed,Logistics Corp,5.8,0.31,Home Purchase,Townhouse,510000.00,90000.00,LO103,BR002
APP000026,CUST10026,LOAN0000026,720000.00,5.50,360,2023-05-02,2023-05-18,Approved,825,248000.00,Employed,Venture Capital,13.5,0.23,Home Purchase,Commercial,880000.00,160000.00,LO104,BR003
APP000027,CUST10027,LOAN0000027,165000.00,7.375,240,2023-05-05,,Withdrawn,675,62000.00,Self-Employed,Art Gallery,2.8,0.41,Cash Out,Condo,200000.00,35000.00,LO101,BR001
APP000028,CUST10028,LOAN0000028,355000.00,6.50,360,2023-05-10,2023-05-25,Approved,738,125000.00,Employed,Pharmaceutical Co,6.1,0.33,Home Purchase,Single Family,425000.00,70000.00,LO105,BR002
APP000029,CUST10029,LOAN0000029,495000.00,6.00,360,2023-05-15,2023-05-30,Approved,772,178000.00,Employed,Telecom Inc,7.6,0.29,Home Purchase,Townhouse,605000.00,110000.00,LO102,BR003
APP000030,CUST10030,LOAN0000030,580000.00,5.875,360,2023-05-18,2023-06-02,Approved,788,202000.00,Employed,Biotech Labs,9.2,0.27,Home Purchase,Single Family,715000.00,135000.00,LO103,BR001
APP000031,CUST10031,LOAN0000031,135000.00,7.75,180,2023-05-22,,Pending,648,55000.00,Employed,Nonprofit Org,2.5,0.43,Debt Consolidation,Condo,165000.00,30000.00,LO104,BR002
