payment_id,loan_id,payment_date,due_date,amount_due,amount_paid,principal_amount,interest_amount,payment_status,payment_method,days_past_due
PAY00000001,LOAN0008140,2024-05-15,2024-04-24,1759.64,1759.64,1055.78,703.86,On-Time,Online,0
PAY00000002,LOAN0005186,2023-10-28,2023-11-01,61695.9,61695.9,37017.54,24678.36,On-Time,Check,0
PAY00000003,LOAN0006013,2023-04-11,2023-03-22,1052.33,1052.33,631.4,420.93,On-Time,Auto-Pay,0
PAY00000004,LOAN0004587,2023-07-23,2023-07-12,85.16,85.16,51.1,34.06,On-Time,ACH,0
PAY00000005,LOAN0006719,2024-04-16,2024-04-13,5343.57,5343.57,3206.14,2137.43,On-Time,Wire,0
PAY00000006,LOAN0009252,2024-11-07,2024-10-19,337.02,391.04,234.62,156.42,Extra,Online,0
PAY00000007,LOAN0003777,2024-08-03,2024-07-21,44971.16,44971.16,26982.7,17988.46,On-Time,ACH,0
PAY00000008,LOAN0003953,2023-02-20,2023-01-30,7884.68,7884.68,4730.81,3153.87,On-Time,ACH,0
PAY00000009,LOAN0002875,2023-01-06,2022-12-10,95.35,0,0.0,0.0,Missed,ACH,0
PAY00000010,LOAN0005913,2024-09-03,2024-08-30,1768.79,1768.79,1061.27,707.52,On-Time,Wire,0
PAY00000011,LOAN0008666,2024-03-16,2024-02-29,1137.75,1137.75,682.65,455.1,On-Time,ACH,0
PAY00000012,LOAN0005499,2024-01-30,2024-02-02,2177.65,2177.65,1306.59,871.06,On-Time,Check,0
PAY00000013,LOAN0004716,2024-07-06,2024-06-07,3178.21,3178.21,1906.93,1271.28,On-Time,Wire,0
PAY00000014,LOAN0001790,2023-06-23,2023-06-01,2302.67,2302.67,1381.6,921.07,On-Time,Online,0
PAY00000015,LOAN0007429,2024-09-16,2024-08-18,437.16,437.16,262.3,174.86,On-Time,Auto-Pay,0
PAY00000016,LOAN0008357,2024-01-08,2023-12-11,495.41,957.44,574.46,382.98,Extra,Auto-Pay,0
PAY00000017,LOAN0005547,2023-03-20,2023-03-23,5665.12,7025.53,4215.32,2810.21,Extra,Online,0
PAY00000018,LOAN0007410,2023-09-28,2023-10-01,609.81,609.81,365.89,243.92,On-Time,ACH,0
PAY00000019,LOAN0005617,2023-02-08,2023-02-04,1771.85,1771.85,1063.11,708.74,On-Time,Online,0
PAY00000020,LOAN0006167,2023-09-16,2023-08-25,393.26,393.26,235.96,157.3,On-Time,Wire,0
PAY00000021,LOAN0007163,2023-02-06,2023-01-08,2437.03,2437.03,1462.22,974.81,On-Time,ACH,0
PAY00000022,LOAN0004046,2023-06-29,2023-06-26,16603.87,10761.41,6456.85,4304.56,Partial,Online,0
PAY00000023,LOAN0003012,2024-10-21,2024-10-09,3563.78,3563.78,2138.27,1425.51,Late,ACH,11
PAY00000024,LOAN0001982,2024-06-28,2024-06-08,762.05,542.83,325.7,217.13,Partial,Check,0
PAY00000025,LOAN0003905,2023-05-13,2023-04-24,620.07,620.07,372.04,248.03,Late,Online,5
PAY00000026,LOAN0004937,2024-10-10,2024-09-16,91.27,91.27,54.76,36.51,On-Time,Auto-Pay,0
PAY00000027,LOAN0000756,2024-01-07,2024-01-05,1452.98,1452.98,871.79,581.19,On-Time,Wire,0
PAY00000028,LOAN0004455,2024-12-30,2024-12-15,2083.29,2083.29,1249.97,833.32,On-Time,Online,0
