valuation_id,loan_id,property_address,property_type,appraised_value,assessed_value,square_footage,year_built,bedrooms,bathrooms,appraisal_date,appraiser_name,appraisal_company
VAL000001,LOAN0000004,6651 Main St,Condo,1033314.02,841990.94,2068,2011,6,4.0,2024-01-13,Matthew Lopez,Accurate Appraisals Inc
VAL000002,LOAN0000006,4208 Maple Blvd,Condo,2114151.31,1516055.43,3434,2002,2,2.3,2023-11-18,Matthew Robinson,Quality Assessment LLC
VAL000003,LOAN0000009,6865 Oak St,Multi-Family,1832415.87,1471031.18,2906,1981,4,3.8,2023-06-26,Jason Hill,National Appraisal Co
VAL000004,LOAN0000011,1599 Pine Ave,Multi-Family,500929.41,439190.95,1577,1956,6,4.0,2023-01-12,Susan Garcia,Premier Appraisers
VAL000005,LOAN0000015,1746 Pine Ave,Townhouse,984968.99,670109.36,3785,1993,2,1.4,2024-04-02,Susan White,National Appraisal Co
VAL000006,LOAN0000024,4213 Pine St,Multi-Family,32648.87,22943.57,3493,1983,6,2.3,2024-11-24,Susan Walker,Metro Valuations
VAL000007,LOAN0000026,4783 Oak Ave,Commercial,3138203.75,2147970.95,3740,1950,1,2.0,2023-10-01,Mark Lewis,Accurate Appraisals Inc
VAL000008,LOAN0000028,4778 Oak Blvd,Commercial,41366.02,32418.51,3076,2011,3,2.7,2024-04-06,Sandra Adams,National Appraisal Co
VAL000009,LOAN0000030,2719 Pine Blvd,Townhouse,747896.04,622552.64,838,2016,6,3.4,2023-11-18,Jessica Allen,Accurate Appraisals Inc
VAL000010,LOAN0000031,4435 Oak Blvd,Condo,2316496.82,1837544.04,1357,1950,6,3.7,2024-02-11,Patricia Clark,National Appraisal Co
VAL000011,LOAN0000049,1417 Pine Blvd,Commercial,2061460.79,1636155.17,4663,1974,6,1.0,2024-10-01,Andrew Wright,Metro Valuations
VAL000012,LOAN0000052,5263 Main St,Condo,25290.26,19280.12,3783,2000,1,2.2,2024-01-08,Nancy Baker,Metro Valuations
VAL000013,LOAN0000057,8665 Main St,Townhouse,62012.91,50371.89,837,1952,3,1.9,2024-02-21,Anthony Moore,Accurate Appraisals Inc
VAL000014,LOAN0000061,5171 Main St,Condo,41078.91,37636.76,4189,1994,1,1.8,2023-11-25,Karen Adams,National Appraisal Co
VAL000015,LOAN0000072,590 Cedar St,Multi-Family,1646301.86,1246849.12,1248,2013,6,3.8,2024-08-16,Sandra Anderson,Accurate Appraisals Inc
VAL000016,LOAN0000073,3093 Pine Ave,Single Family,68568.62,62566.51,1410,1965,3,3.2,2023-03-23,Karen Wilson,Quality Assessment LLC
VAL000017,LOAN0000078,203 Cedar St,Commercial,1896641.17,1617603.9,4127,1994,3,3.0,2023-06-13,Patricia Williams,Quality Assessment LLC
